huber_f_scale,calibration_kind,huber_eps,huber_alpha,ransac_rt,feat_mode,irls_residual_thresh_m,irls_max_iter,val_StepC_RMSE_m,val_StepC_MAE_m
0.95,huber,1.55,1e-06,,raw,3.8,2,1.673689178424619,1.3130048492849418
0.95,huber,1.55,1e-06,,raw,3.8,3,1.6737831903668807,1.3131054799092485
0.95,huber,1.55,0.0001,,raw,1.2,2,1.7502345360730351,1.3927313686017628
0.95,huber,1.55,0.0001,,raw,1.2,3,1.7886291384139386,1.4372451316100576
0.95,huber,1.55,0.0001,,raw,1.6,2,1.7123675693036142,1.3541455481159608
0.95,huber,1.55,0.0001,,raw,1.6,3,1.7346148573383195,1.376350326242325
0.95,huber,1.55,0.0001,,raw,2.0,2,1.6922979035746244,1.3294634248410178
0.95,huber,1.55,0.0001,,raw,2.0,3,1.700276101375177,1.3360294188031683
0.95,huber,1.55,0.0001,,raw,2.4,2,1.6818117916928048,1.319708220150608
0.95,huber,1.55,0.0001,,raw,2.4,3,1.6844140603282562,1.3208663075102172
0.95,huber,1.55,0.0001,,raw,2.8,2,1.6782997303347456,1.317011933032425
0.95,huber,1.55,0.0001,,raw,2.8,3,1.6792203107379555,1.3172057698265363
0.95,huber,1.55,0.0001,,raw,3.2,2,1.6755873465330278,1.31481450754628
0.95,huber,1.55,0.0001,,raw,3.2,3,1.6765494327608665,1.3153447389381026
0.95,huber,1.55,0.0001,,raw,3.8,2,1.6736892184005137,1.3130049059771751
0.95,huber,1.55,0.0001,,raw,3.8,3,1.6737832340827843,1.3131055384825137
0.95,huber,1.55,0.001,,raw,1.2,2,1.7502350661732777,1.392732031102057
0.95,huber,1.55,0.001,,raw,1.2,3,1.7886297087470298,1.4372459622850164
0.95,huber,1.55,0.001,,raw,1.6,2,1.7123680264289545,1.3541461117255404
0.95,huber,1.55,0.001,,raw,1.6,3,1.734615336928723,1.3763508661566815
0.95,huber,1.55,0.001,,raw,2.0,2,1.6922982604206414,1.329463958897744
0.95,huber,1.55,0.001,,raw,2.0,3,1.700276522850687,1.336029986819536
0.95,huber,1.55,0.001,,raw,2.4,2,1.6818122431631937,1.3197087985067097
0.95,huber,1.55,0.001,,raw,2.4,3,1.6844145000270976,1.320866888299805
0.95,huber,1.55,0.001,,raw,2.8,2,1.6783001032173899,1.3170124555564335
0.95,huber,1.55,0.001,,raw,2.8,3,1.6792207301169906,1.3172063325630656
0.95,huber,1.55,0.001,,raw,3.2,2,1.6755877365544523,1.314815037600062
0.95,huber,1.55,0.001,,raw,3.2,3,1.676549825276047,1.3153452733466182
0.95,huber,1.55,0.001,,raw,3.8,2,1.6736895695668284,1.3130054111088467
0.95,huber,1.55,0.001,,raw,3.8,3,1.6737836116060458,1.3131060632406328
0.95,ransac,,,2.2,raw,1.2,2,1.6849637979964274,1.2996513401216583
0.95,ransac,,,2.2,raw,1.2,3,1.7172766656707452,1.3414575295026872
0.95,ransac,,,2.2,raw,1.6,2,1.6553359945809893,1.2632774217174283
0.95,ransac,,,2.2,raw,1.6,3,1.6731604902583899,1.2791396702207518
0.95,ransac,,,2.2,raw,2.0,2,1.6387910283992126,1.2459625304124364
0.95,ransac,,,2.2,raw,2.0,3,1.6458420248993986,1.2519387864106335
0.95,ransac,,,2.2,raw,2.4,2,1.6305325700498736,1.2377864550388638
0.95,ransac,,,2.2,raw,2.4,3,1.633893953533198,1.2401765982985242
0.95,ransac,,,2.2,raw,2.8,2,1.6264432367344328,1.2340398541071695
0.95,ransac,,,2.2,raw,2.8,3,1.6281647056195057,1.235044418651737
0.95,ransac,,,2.2,raw,3.2,2,1.6240517508093697,1.232253535883574
0.95,ransac,,,2.2,raw,3.2,3,1.625113092810268,1.232819286386683
0.95,ransac,,,2.2,raw,3.8,2,1.6229194880906528,1.230866321048449
0.95,ransac,,,2.2,raw,3.8,3,1.6231057832626947,1.231046170870771
0.95,ransac,,,4.0,raw,1.2,2,1.7322982117499155,1.3887507235407714
0.95,ransac,,,4.0,raw,1.2,3,1.7694054436251787,1.4354737666613029
0.95,ransac,,,4.0,raw,1.6,2,1.6947093661294472,1.353370272786133
0.95,ransac,,,4.0,raw,1.6,3,1.7170894932118876,1.3738214478474853
0.95,ransac,,,4.0,raw,2.0,2,1.6757867659326844,1.329152873705454
0.95,ransac,,,4.0,raw,2.0,3,1.6822380711016078,1.334002546429918
0.95,ransac,,,4.0,raw,2.4,2,1.6668060620595502,1.3210866177651865
0.95,ransac,,,4.0,raw,2.4,3,1.6698110599680334,1.3228302259606202
0.95,ransac,,,4.0,raw,2.8,2,1.663190352406782,1.3183380002743976
0.95,ransac,,,4.0,raw,2.8,3,1.6646730334151896,1.3188979893706656
0.95,ransac,,,4.0,raw,3.2,2,1.6603738654721647,1.3163499788652848
0.95,ransac,,,4.0,raw,3.2,3,1.6614795583304338,1.316886942514692
0.95,ransac,,,4.0,raw,3.8,2,1.659784390409089,1.3149894115626424
0.95,ransac,,,4.0,raw,3.8,3,1.659481982382257,1.3149694058837451
0.95,ransac,,,6.5,raw,1.2,2,1.8732609522735129,1.5381091433614276
0.95,ransac,,,6.5,raw,1.2,3,1.921667213711699,1.5973704191847433
0.95,ransac,,,6.5,raw,1.6,2,1.8279087817449808,1.4911324655803735
0.95,ransac,,,6.5,raw,1.6,3,1.849443394575675,1.5129730856683525
0.95,ransac,,,6.5,raw,2.0,2,1.8017976062187864,1.4662295272889194
0.95,ransac,,,6.5,raw,2.0,3,1.8121278526058602,1.4759831357464004
0.95,ransac,,,6.5,raw,2.4,2,1.787718511370805,1.4528867992281398
0.95,ransac,,,6.5,raw,2.4,3,1.7918213700828447,1.4568040318295816
0.95,ransac,,,6.5,raw,2.8,2,1.779556307175749,1.4458526024631273
0.95,ransac,,,6.5,raw,2.8,3,1.7810136040383435,1.4474991325707522
0.95,ransac,,,6.5,raw,3.2,2,1.7759970877265774,1.4433574040757304
0.95,ransac,,,6.5,raw,3.2,3,1.775054437641208,1.443210438205582
0.95,ransac,,,6.5,raw,3.8,2,1.7750888551694946,1.4422883310717785
0.95,ransac,,,6.5,raw,3.8,3,1.7713362740735097,1.4402474197836297
0.95,huber,1.12,1e-06,,bias_sub,1.2,2,1.6850001398226349,1.3251161321319183
0.95,huber,1.12,1e-06,,bias_sub,1.2,3,1.7161918697130059,1.3633070848359972
0.95,huber,1.12,1e-06,,bias_sub,1.6,2,1.6444326895196124,1.2694064860590737
0.95,huber,1.12,1e-06,,bias_sub,1.6,3,1.6625848353462958,1.291461725349461
0.95,huber,1.12,1e-06,,bias_sub,2.0,2,1.6281157379482936,1.2501112381885922
0.95,huber,1.12,1e-06,,bias_sub,2.0,3,1.6344226055845192,1.255906368810627
0.95,huber,1.12,1e-06,,bias_sub,2.4,2,1.6202939099363276,1.2415248801723502
0.95,huber,1.12,1e-06,,bias_sub,2.4,3,1.6236990425428006,1.2439293067331554
0.95,huber,1.12,1e-06,,bias_sub,2.8,2,1.6162153089857283,1.2377859878166726
0.95,huber,1.12,1e-06,,bias_sub,2.8,3,1.617923526917156,1.2388530773200466
0.95,huber,1.12,1e-06,,bias_sub,3.2,2,1.6138273914570005,1.2362591325783636
0.95,huber,1.12,1e-06,,bias_sub,3.2,3,1.6146493847163996,1.2366857862369063
