row_idx,anchor_key,true_dist_m,uwb_median_m,uwb_median_bias_corrected_m,gate_resid_m,passed_v15_gate
207,d10485af,8.85889383614004,5.29,7.3411,1.5177938361400392,1
207,d1044709,3.7947331922020546,0.81,1.8061,1.9886331922020546,1
207,4e610206,2.9999999999999982,2.77,3.3774,0.37740000000000196,1
208,e63ce2f,4.8,0.69,4.333,0.46699999999999964,1
208,4e610206,6.4899922958351794,4.99,5.5974,0.8925922958351791,1
209,e63ce2f,8.072174428244226,4.18,7.8229999999999995,0.24917442824422675,1
209,d1044709,2.9999999999999996,2.73,3.7260999999999997,0.7261000000000002,1
209,4e610206,4.569463863518345,2.29,2.8974,1.6720638635183445,1
210,d10485af,9.674709297958257,9.17,11.2211,1.5463907020417427,1
211,d10485af,10.816653826391969,10.48,12.5311,1.7144461736080316,1
211,d1044709,3.8418745424597094,3.59,4.5861,0.7442254575402907,1
212,e63ce2f,6.627216610312357,4.83,8.472999999999999,1.845783389687642,1
212,d10485af,11.7881296226331,11.32,13.3711,1.5829703773669,1
212,4e610206,10.057832768544124,9.56,10.1674,0.10956723145587688,1
213,8e610981,3.0,2.48,2.9955,0.0045000000000001705,1
213,4e610206,9.985990186255941,7.7,8.3074,1.678590186255942,1
214,4e610206,2.4738633753705948,2.19,2.7974,0.32353662462940536,1
215,8e610981,9.693296652842108,7.14,7.6555,2.0377966528421076,1
217,e63ce2f,11.208925015361643,5.6,9.242999999999999,1.9659250153616448,1
220,8e610981,3.0,2.72,3.2355,0.23550000000000004,1
220,d10485af,8.049844718999243,6.85,8.9011,0.851255281000757,1
221,8e610981,6.708203932499369,5.49,6.0055000000000005,0.7027039324993689,1
221,d1044709,6.177378084592201,5.81,6.8061,0.628721915407799,1
222,4e610206,2.473863375370597,2.12,2.7274000000000003,0.2535366246294033,1
223,4e610206,2.4738633753705948,2.25,2.8574,0.3835366246294054,1
224,4e610206,12.059850745345067,11.16,11.7674,0.2924507453450662,1
227,d1044709,8.919641248391104,8.8,9.796100000000001,0.8764587516088973,1
228,d1044709,3.8418745424597094,2.0,2.9961,0.8457745424597092,1
228,4e610206,8.73613186713662,6.2,6.8074,1.9287318671366203,1
229,e63ce2f,9.840731680114036,5.6,9.242999999999999,0.5977316801140375,1
229,4e610206,3.3941125496954276,2.9,3.5074,0.11328745030457243,1
230,e63ce2f,8.357032966310472,6.0,9.643,1.2859670336895288,1
230,d1044709,3.5999999999999996,0.6,1.5960999999999999,2.0039,1
