Node_x,Node_y,110394ab_실제거리,110394ab_중간값,110394ab_오차율(%),e63ce2f_실제거리,e63ce2f_중간값,e63ce2f_오차율(%),8e610981_실제거리,8e610981_중간값,8e610981_오차율(%),d10485af_실제거리,d10485af_중간값,d10485af_오차율(%),d1044709(식별잘안됨)_실제거리,d1044709(식별잘안됨)_중간값,d1044709(식별잘안됨)_오차율(%),4e610206_실제거리,4e610206_중간값,4e610206_오차율(%),SW_first_team_실제거리,SW_first_team_중간값,SW_first_team_오차율(%),SW_4_실제거리,SW_4_중간값,SW_4_오차율(%),SW_5_실제거리,SW_5_중간값,SW_5_오차율(%),SW_6_실제거리,SW_6_중간값,SW_6_오차율(%),SW_11_실제거리,SW_11_중간값,SW_11_오차율(%),볼링공_실제거리,볼링공_중간값,볼링공_오차율(%)
19,27,21.378,4.81,77.50023388530265,23.431,7.99,65.89987623234177,10.0,7.6,24.000000000000004,2.236,7.2,222.0035778175313,14.866,8.91,40.06457688685591,9.055,1.38,84.75980121479846,23.431,12.55,46.43847893815885,2.236,9.35,318.1574239713774,9.055,3.82,57.81336278299282,14.866,8.51,42.75528050585228,21.378,22.21,3.891851436055762,10.0,11.66,16.6
3,3,18.358,1.21,93.40886806841704,16.401,3.33,79.69635997805011,7.071,,,9.22,5.92,35.791757049891544,7.81,4.22,45.96670934699104,5.657,3.28,42.01873784691533,16.401,12.03,26.650813974757643,9.22,14.9,61.605206073752704,5.657,14.23,151.54675623121796,7.81,11.52,47.50320102432779,18.358,1.71,90.68525983222573,7.071,8.42,19.077923914580687
9,3,18.358,3.86,78.97374441660313,16.401,,,7.071,,,9.22,10.92,18.438177874186543,7.81,3.48,55.44174135723432,5.657,8.85,56.44334452890224,16.401,9.72,40.73532101701115,9.22,16.37,77.54880694143166,5.657,13.31,135.28371928584056,7.81,7.69,1.5364916773367379,18.358,5.19,71.72894650833423,7.071,7.93,12.148211002687031
17,3,18.358,9.46,48.46933217126048,16.401,15.86,3.298579354917385,7.071,8.56,21.05784188940745,9.22,,,7.81,3.19,59.15492957746478,5.657,8.86,56.62011666961286,16.401,4.58,72.07487348332418,9.22,18.08,96.09544468546635,5.657,14.83,162.1530846738554,7.81,7.57,3.0729833546734873,18.358,10.11,44.92864146421179,7.071,10.66,50.7566115118088
4,10,18.358,3.91,78.70138359298399,16.401,2.93,82.13523565636241,7.071,2.67,62.240135765803984,9.22,9.83,6.616052060737521,7.81,8.68,11.139564660691423,5.657,3.62,36.00848506275411,16.401,12.41,24.33388208036095,9.22,13.15,42.62472885032537,5.657,11.93,110.88916386777443,7.81,9.53,22.023047375160047,18.358,4.88,73.41758361477285,7.071,6.23,11.893650120209296
17,10,18.358,6.4,65.13781457675127,16.401,5.46,66.70934699103712,7.071,,,9.22,9.95,7.917570498915386,7.81,1.12,85.65941101152369,5.657,,,16.401,4.76,70.97737942808365,9.22,13.58,47.28850325379609,5.657,8.77,55.02916740321725,7.81,2.85,63.50832266325224,18.358,11.2,38.99117550931474,7.071,8.35,18.087964927167302
6,18,21.26,3.92,81.56161806208844,13.928,2.67,80.82998276852383,11.18,1.71,84.70483005366725,13.038,5.17,60.3466789384875,6.0,8.76,46.0,4.123,,,13.928,11.65,16.355542791499143,13.038,8.58,34.192360791532444,4.123,7.73,87.4848411350958,6.0,8.99,49.833333333333336,21.26,9.31,56.20884289746002,11.18,2.31,79.3381037567084
16,18,21.26,,,13.928,3.25,76.66570936243538,11.18,2.72,75.67084078711986,13.038,8.55,34.42245743212149,6.0,2.32,61.33333333333334,4.123,4.33,5.020616056269703,13.928,7.47,46.36703044227456,13.038,9.42,27.749654855039118,4.123,4.14,0.41232112539411736,6.0,3.93,34.5,21.26,13.76,35.27751646284102,11.18,6.98,37.56708407871198
3,24,21.26,3.46,83.72530573847601,13.928,,,11.18,,,13.038,1.63,87.49808252799511,6.0,9.16,52.66666666666667,4.123,9.16,122.16832403589619,13.928,21.77,56.303848363009756,13.038,2.18,83.2796441171959,4.123,9.16,122.16832403589619,6.0,11.4,90.0,21.26,12.75,40.02822201317028,11.18,7.05,36.94096601073345
9,24,21.26,,,13.928,12.06,13.41183228029868,11.18,5.8,48.1216457960644,13.038,3.25,75.07286393618654,6.0,,,4.123,3.11,24.56948823672084,13.928,13.37,4.0063182079264905,13.038,4.07,68.7835557600859,4.123,3.28,20.446276982779537,6.0,7.73,28.83333333333334,21.26,19.88,6.491063029162758,11.18,7.49,33.005366726296955
17,26,21.26,5.71,73.1420507996237,13.928,7.42,46.72601952900632,11.18,5.99,46.422182468694096,13.038,,,6.0,7.05,17.499999999999996,4.123,2.06,50.03638127577007,13.928,13.59,2.4267662263067273,13.038,8.04,38.334100322135306,4.123,2.77,32.81591074460345,6.0,9.61,60.16666666666666,21.26,16.94,20.319849482596425,11.18,10.45,6.529516994633278
1,0,21.26,2.3,89.18156161806209,13.928,,,11.18,8.86,20.751341681574242,13.038,16.22,24.405583678478283,6.0,6.47,7.8333333333333295,4.123,16.27,294.6155711860295,13.928,12.15,12.765651924181507,13.038,16.63,27.550237766528596,4.123,16.37,297.0409895707009,6.0,11.91,98.5,21.26,1.86,91.25117591721543,11.18,9.57,14.400715563506255
1,3,16.492,0.73,95.57361144797477,3.162,,,13.892,9.33,32.839044054131875,23.022,14.46,37.190513421944225,6.325,,,16.279,14.64,10.068186006511452,3.162,11.75,271.6002530044276,23.022,14.22,38.23299452697419,16.279,15.13,7.058173106456166,6.325,11.06,74.86166007905139,16.492,0.51,96.90759155954403,13.892,7.4,46.73193204722142
1,6,2.236,6.14,174.59749552772806,18.682,,,13.342,6.39,52.106131014840365,25.08,,,17.692,5.33,69.87338910241917,25.06,14.24,43.17637669592976,18.682,11.32,39.406915747778605,25.08,12.44,50.398724082934606,25.06,13.25,47.12689545091779,17.692,10.61,40.02939181550984,2.236,3.72,66.36851520572449,13.342,6.08,54.429620746514765
1,9,2.236,4.14,85.15205724508047,18.682,,,13.342,,,25.08,10.91,56.499202551834124,17.692,4.68,73.54736604114855,25.06,11.84,52.75339185953711,18.682,11.44,38.76458623273739,25.08,10.74,57.17703349282296,25.06,12.05,51.915403032721464,17.692,9.74,44.94686864119376,2.236,6.14,174.59749552772806,13.342,5.05,62.14960275820718
13,2,2.236,,,18.682,13.57,27.363237340755802,13.342,7.32,45.135661819817116,25.08,15.73,37.28070175438596,17.692,,,25.06,,,18.682,6.48,65.31420618777433,25.08,20.58,17.942583732057418,25.06,13.75,45.13168395849959,17.692,6.99,60.49061722812571,2.236,7.57,238.5509838998211,13.342,9.16,31.344625993104486
13,4,11.18,,,18.788,,,2.0,,,12.042,14.69,21.989702707191494,12.042,6.03,49.925261584454404,14.213,7.48,47.372124111728695,18.788,4.47,76.20821801149671,12.042,17.21,42.91645905995683,14.213,12.93,9.02694716104974,12.042,5.46,54.65869456900847,11.18,7.41,33.72093023255814,2.0,8.55,327.50000000000006
13,7,11.18,,,18.788,,,2.0,,,12.042,4.71,60.88689586447435,12.042,4.21,65.03903006145158,14.213,6.53,54.05614578203053,18.788,4.12,78.0711092186502,12.042,14.35,19.166251453246968,14.213,10.94,23.02821360726096,12.042,4.0,66.78292642418204,11.18,8.4,24.86583184257602,2.0,6.53,226.5
15,2,11.18,,,18.788,,,2.0,,,12.042,4.93,59.05995681780435,12.042,7.01,41.78707855837901,14.213,6.46,54.54865264194751,18.788,4.46,76.26144347455822,12.042,17.48,45.158611526324535,14.213,13.85,2.5539998592837514,12.042,7.28,39.54492609201129,11.18,9.35,16.36851520572451,2.0,9.72,386.00000000000006
